brand,product_id,sales
doogee,1004409,1
doogee,1004533,1
fly,1004625,42
fly,1004755,28
fly,1004624,5
gionee,1005086,14
gionee,1004829,10
gionee,1004674,7
gionee,1004830,5
gionee,1003438,2
gionee,1003439,2
gionee,1002845,1
gionee,1005087,1
goodloot,36700049,1
google,1005148,18
google,1005275,13
google,1005038,12
google,1005039,10
google,100014382,6
google,1003475,2
google,1004583,2
haier,1004713,79
haier,1004718,50
haier,1004801,38
haier,1004717,23
haier,1004719,22
haier,1004711,15
haier,1004716,13
haier,1004712,8
haier,1004802,8
haier,1004715,7
haier,1004800,6
haier,1004714,3
haier,1004798,3
haier,1004799,2
hiper,1003352,8
honor,1004813,276
honor,1004754,161
honor,1005229,105
honor,1003811,76
honor,1005206,74
honor,1005228,71
honor,1005079,57
honor,1005202,40
honor,1005081,31
honor,1005083,29
honor,1004753,27
honor,1005082,27
honor,1005213,27
honor,1004817,24
honor,1004864,24
honor,1004812,23
honor,1004810,22
honor,1004866,22
honor,1005080,21
honor,1004742,19
honor,1004814,18
honor,1004815,18
honor,1003343,15
honor,1004865,14
honor,1002666,10
honor,1004307,10
honor,1004323,8
honor,1002665,6
honor,1003418,5
honor,1004811,5
honor,1004324,4
honor,1004820,4
honor,1003408,2
honor,1004372,2
honor,1005199,2
htc,1005197,87
htc,1002444,11
htc,1003038,2
huawei,1004565,7147
huawei,1004785,7077
huawei,1004781,3992
huawei,1004903,3230
huawei,1004708,2867
huawei,1004566,2745
huawei,1004720,2633
huawei,1005003,2225
huawei,1004709,1314
huawei,1004904,1161
huawei,1005017,1052
huawei,1004723,851
huawei,1004748,833
huawei,1005002,739
huawei,1004905,662
huawei,1005004,575
huawei,1005018,409
huawei,1004840,348
huawei,1004849,343
huawei,1004321,327
huawei,1004848,288
huawei,1005001,248
huawei,1003879,207
huawei,1004850,192
huawei,1003768,184
huawei,1004322,174
huawei,1004428,172
huawei,1003770,161
huawei,1005273,154
huawei,1003705,133
huawei,1002923,109
huawei,1003772,97
huawei,1003706,96
huawei,1004462,96
huawei,1004544,94
huawei,1003707,92
huawei,1003769,85
huawei,1002974,67
huawei,1003906,64
huawei,1004536,63
huawei,1004897,58
huawei,1003153,56
huawei,1003907,52
huawei,1003524,48
huawei,1003771,48
huawei,1003982,48
huawei,1005279,45
huawei,1003489,40
huawei,1003983,39
huawei,1005280,34
huawei,1004545,32
huawei,1004215,29
huawei,1003984,25
huawei,1003909,23
huawei,1003922,22
huawei,1004790,19
huawei,1003234,18
huawei,1004647,17
huawei,1005267,16
huawei,1003080,15
huawei,1003435,15
huawei,1003013,12
huawei,1003920,12
huawei,100017960,11
huawei,1003195,9
huawei,100082050,9
huawei,1003183,4
huawei,1003184,4
huawei,1002497,3
huawei,1003815,3
huawei,1004489,3
huawei,1003235,2
huawei,1004786,2
huawei,1004463,1
huawei,1005274,1
huawei,100045400,1
inoi,1004627,117
inoi,1004587,40
inoi,1005012,32
inoi,1003949,30
inoi,1004589,30
inoi,1004553,20
inoi,1005248,18
inoi,1003947,17
